marked “Rejected” (cancellations under regulations 77, 78,78A and 86A are not rejections and should be included in items 2, 3, 5, 8, 9 and 10 above)",1) How many proxies were appointed for these elections?,2) How many emergency proxies were appointed for these elections?,3) How many waivers were granted for these elections?,a) Want of a signature,b) Want of a date of birth,c) Want of both,d) Mismatched signature,e) Mismatched DoB,f) Both mismatched,g) Ballot paper unreturned ,h) Postal voting statement unreturned ,5) What was the total number of polling stations used?,6) How many covering envelopes were returned on polling day before 10pm?,7) How many covering envelopes were returned on the day after polling day before 10pm?,15) How many people tried to vote on polling day and were found not to be registered?,17) What was your issue date for postal votes sent overseas?,18) What was your delivery date for postal votes sent to electors in the UK?,19) How many covering envelopes were returned  via the final Royal Mail sweep on polling day in time to be counted?,21) a) At what time did verification begin?,22) b) At what time did verification end?,23) a) At what time did counting the votes on the ballot papers begin?,23) b) At what time did counting the votes on the ballot papers end?,24) Was the count suspended?,25) How many recounts did you hold? ,26) a) How many people were in a queue by 10pm and were waiting to vote at a polling station at the close of poll?,26) b) How many people joined a queue after 10pm and were waiting to vote at a polling station at the close of poll?
E14000979,545,Stretford and Urmston,"71,830","50,291",70.0%,"50,386",70.1%,"50,980",71.0%,0,36,2,57,0,95,"19,071",147,0,"19,218",78,"16,155",41,14,55,0,0,25,"2,850","19,140","16,155",66,323,"15,561",389,414,99,194,34,1,31,149,125,49,6,8,59,"16,155",32, ,17/05/17,26/05/17,69,22:00:00,00:03:00,00:05:00,03:03:00,No,0,0,0
E14000980,546,Stroud,"82,839","63,847",77.1%,"63,944",77.2%,"64,357",77.7%,0,25,2,70,0,97,"15,993",109,0,"16,102",0,"14,403",44,33,76,0,0,61,"1,488","16,105","14,133",16,215,"13,990",446,784,48,96,6,3,6,65,120,30,81,230,85,"1,280",33,13,19/05/17,20/05/17,33,22:00:00,00:23:00,00:05:00,02:15:00,No,1,1,0
E14000981,548,Suffolk Coastal,"79,366","58,100",73.2%,"58,310",73.5%,"58,553",73.8%,0,27,1,182,0,210,"16,396",33,0,"16,429",33,"14,214",66,1,26,0,0,7,"2,115","16,429","14,197",27,68,"13,971",243,504,26,97,25,0,0,23,44,2,13,136,90,"1,004",44,17,17/05/17,24/05/17,24,22:00:00,01:00:00,00:45:00,03:15:00,No,0,3,0
E14000982,551,Sunderland Central,"72,728","45,111",62.0%,"45,187",62.1%,"45,680",62.8%,0,14,1,61,0,76,"29,480",133,0,"29,613",27,"23,804",43,12,94,0,0,101,"5,559","29,613","23,804",156,308,"23,311",493,168,5,81,90,4,62,65,192,51,14,15,45,987,18,2,17/05/17,20/05/17,182,22:00:00,22:55:00,22:20:00,23:43:00,No,0,0,0
E14000983,553,Surrey Heath,"80,374","57,822",71.9%,"58,048",72.2%,"58,260",72.5%,0,27,0,199,0,226,"14,338",63,7,"14,401",41,"12,516",52,2,20,33,0,40,"1,738","14,401","12,527",150,21,"12,304",212,561,21,38,21,65,64,4,13,4,6,29,55,"1,089",43,7,19/05/17,22/05/17,47,22:00:00,00:10:00,00:15:00,02:02:00,No,0,0,0
E14000984,556,Sutton and Cheam,"70,404","51,970",73.8%,"52,093",74.0%,"52,074",74.0%,0,31,0,92,0,123,"13,331",72,0,"13,403",25,"11,819",50,0,47,25,0,12,"1,450","13,403","11,838",38,56,"11,838",113,513,12,70,6,28,4,4,37,15,14,5,49,"11,413",428,20,19/05/17,20/05/17,186,22:00:00,00:30:00,00:33:00,03:00:00,No,0,0,0
E14000985,557,Sutton Coldfield,"75,652","52,858",69.9%,"52,999",70.1%,"53,198",70.3%,0,28,0,113,0,141,"11,053",13,0,"11,066",5,"9,153",10,5,5,2,0,35,"1,856","11,066","9,153",60,131,"8,954",209,376,17,51,14,5,41,38,52,41,8,10,43,718,5, ,19/05/17,22/05/17,86,22:00:00,01:30:00,00:10:00,02:20:00,No ,0,0,0
W07000048,558,Swansea East6,"58,526","35,159",60.1%,"35,215",60.2%,"35,401",60.5%,0,20,5,31,0,56,"10,421",17,66,"10,504",10,"8,463",28,0,17,0,0,11,"1,985","10,504","8,463",78,30,"8,277",211,143,1,22,29,36,13,6,17,7,27,76,47,"8,463",6, ,18/05/17,25/05/17,29,22:05:00,00:30:00,00:30:00,02:30:00,No,0,0,0
W07000047,559,Swansea West6,"56,889","37,282",65.5%,"37,365",65.7%,"37,563",66.0%,0,13,0,70,0,83,"10,548",26,80,"10,654",18,"8,790",27,2,24,0,0,12,"1,801","10,654","8,790",56,30,"8,592",208,286,6,24,19,33,4,9,21,0,23,99,43,"8,790",7, ,18/05/17,25/05/17,36,22:05:00,00:30:00,00:30:00,02:30:00,No,0,0,0
E14000986,562,Tamworth,"71,308","47,110",66.1%,"47,290",66.3%,"47,625",66.8%,1,36,1,142,0,180,"13,728",43,0,"13,771",9,"11,638",19,2,32,0,0,17,"2,063","13,771","11,638",41,289,"11,303",0,281,4,113,5,22,21,188,83,72,0,0,78,602,8,18,17/05/17,25/05/17,5,12:25:00,00:30:00,00:30:00,01:45:00,No,0,0,0
E14000987,563,Tatton,"67,847","49,116",72.4%,"49,220",72.5%,"49,663",73.2%,0,9,1,94,0,104,"14,944",65,6,"15,015",0,"13,069",49,0,3,62,0,32,"1,800","15,015","13,069",32,195,"12,626",242,421,19,73,5,17,10,132,54,9,10,5,72,936, , ,16/05/17,24/05/17,36,22:00:00,01:00:00,01:10:00,04:00:00,No,0,0,0
E14000988,564,Taunton Deane,"85,457","63,053",73.8%,"63,152",73.9%,"63,494",74.3%,0,16,0,83,0,99,"16,865",126,0,"16,991",56,"15,040",53,0,19,0,0,51,"1,828","16,991","15,040",59,112,"14,698",342,777,37,77,42,16,1,24,79,9,45,126,92,"1,893",9,11,19/05/17,24/05/17,75,22:00:00,01:00:00,01:40:00,04:30:00,No,0,0,0
E14000989,565,Telford,"68,106","44,686",65.6%,"44,832",65.8%,"45,079",66.2%,0,26,6,114,0,146,"18,916",89,0,"19,005",25,"16,140",0,0,64,0,0,35,"3,013","19,252","16,140",1,273,"15,893",0,236,12,92,0,1,0,100,115,58,0,0,39,635,0,61,17/05/17,17/05/17,22,22:01:00,01:10:00,01:30:00,03:10:00,No,0,0,0
E14000990,566,Tewkesbury,"81,440","59,091",72.6%,"59,206",72.7%,"59,456",73.0%,7,20,1,87,0,115,"13,952",52,0,"14,004",129,"12,641",57,11,38,0,0,15,"1,242","14,004","12,641",15,84,"12,391",151,426,17,58,0,15,0,6,73,5,38,113,67,"1,078",24,6,19/05/17,20/05/17,36,23:30:00,02:00:00,02:15:00,04:30:00,No,0,0,0
E14000991,164,The Cotswolds,"80,449","59,702",74.2%,"59,829",74.4%,"60,246",74.9%,0,19,8,100,0,127,"16,418",85,0,"16,503",166,"14,140",355,17,43,0,0,59,"1,804","16,418","14,140",38,207,"13,723",273,526,22,120,1,32,5,131,61,14,23,144,127,"1,160",320, ,18/05/17,20/05/17,14,22:00:00,01:30:00,23:15:00,03:00:00,No,0,0,0
E14000992,640,The Wrekin,"68,608","49,523",72.2%,"49,638",72.4%,"50,201",73.2%,0,21,3,91,0,115,"19,342",82,0,"19,424",33,"16,717",0,4,45,0,0,30,"3,191","19,987","16,717",0,181,"16,154",0,247,8,104,0,0,0,34,124,23,0,0,50,690,0,60,17/05/17,17/05/17,22,22:01:00,01:10:00,01:30:00,02:30:00,No,0,0,0
E14000993,569,Thirsk and Malton,"78,662","55,929",71.1%,"56,023",71.2%,"56,216",71.5%,0,25,2,67,0,94,"15,128",47,14,"15,189",149,"12,997",73,3,0,44,0,60,"2,012","15,189","12,997",91,77,"12,804",196,645,44,49,28,16,47,14,50,13,11,17,135,803,48,6,18/05/17,22/05/17,17,22:30:00,01:45:00,01:45:00,05:00:00,No,0,0,0
E14000994,570,Thornbury and Yate,"67,891","50,690",74.7%,"50,791",74.8%,"51,019",75.1%,0,15,0,86,0,101,"14,747",63,0,"14,810",33,"12,245",52,0,30,0,0,184,"2,310","14,821","12,245",1,155,"12,017",223,488,25,68,1,18,7,64,49,42,31,11,53,337,31,11,17/05/17,18/05/17,87,22:00:00,00:30:00,00:30:00,03:55:00,No,0,0,0
E14000995,571,Thurrock,"78,154","50,325",64.4%,"50,422",64.5%,"50,712",64.9%,0,17,2,78,0,97,"12,419",85,0,"12,504",112,"10,393",51,1,55,0,0,16,"1,988","12,504","10,393",53,225,"10,103",324,247,15,67,3,23,27,101,82,42,5,41,52,"1,095",20,0,19/05/17,23/05/17,63,22:00:00,00:10:00,00:20:00,02:40:00,No,0,0,0
E14000996,572,Tiverton and Honiton,"80,731","57,822",71.6%,"57,994",71.8%,"58,382",72.3%,0,18,1,153,0,172,"12,772",25,0,"12,797",12,"11,245",45,0,25,0,0,29,"1,453","12,797","11,014",55,102,"10,857",157,583,34,29,15,49,29,13,10,9,7,25,108,386,36,7,19/05/17,25/05/17,19,22:00:00,01:30:00,01:00:00,04:40:00,No,0,0,0
E14000997,573,Tonbridge and Malling,"77,417","56,799",73.4%,"56,907",73.5%,"57,085",73.7%,0,21,0,87,0,108,"12,156",6,0,"12,162",38,"10,830",66,0,6,0,0,12,"1,248","12,162","10,830",129,43,"10,652",173,477,4,22,22,2,86,7,24,5,10,2,64,"1,102",29,27,19/05/17,25/05/17,32,22:00:00,23:45:00,00:15:00,03:00:00,No,0,0,0
E14000998,574,Tooting,"77,971","58,171",74.6%,"58,304",74.8%,"58,558",75.1%,0,15,2,116,0,133,"15,190",83,0,"15,273",263,"12,657",166,4,79,0,0,80,"2,287","15,273","12,655",76,149,"12,403",264,"1,219",73,26,9,44,11,60,65,24,27,12,57,"1,813",34,12,19/05/17,20/05/17,71,22:15:00,23:45:00,23:45:00,01:15:00,No,0,0,0
E14000999,575,Torbay,"75,931","51,174",67.4%,"51,249",67.5%,"52,442",69.1%,0,17,0,58,0,75,"13,889",77,0,"13,966",25,"13,155",41,0,0,77,0,41,693,"14,007","13,155",2,78,"11,962",82,461,11,63,2,0,0,14,53,10,13,67,47,465,15, ,19/05/17,26/05/17,53,23:00:00,23:45:00,00:00:00,01:45:00,No,0,0,0
W07000053,576,Torfaen,"61,839","38,432",62.1%,"38,494",62.2%,"38,983",63.0%,0,23,0,39,0,62,"12,692",30,0,"12,722",62,"10,507",21,26,0,4,0,31,"2,133","12,722","10,507",89,318,"10,018",0,161,38,118,19,37,6,131,108,31,82,89,68,915,31, ,19/05/17,24/05/17, ,22:00:00,23:45:00,23:50:00,01:55:00,No,0,0,0
E14001000,192,Torridge and West Devon,"80,524","59,472",73.9%,"59,616",74.0%,"59,855",74.3%,0,19,0,125,0,144,"14,383",64,0,"14,447",23,"12,733",84,4,37,0,0,50,"1,539","14,447","12,733",5,215,"12,494",0,702,31,92,1,1,3,48,81,86,11,6,115,273,12,16,17/05/17,26/05/17,16,22:00:00,02:40:00,00:43:00,05:20:00,No,0,0,0
E14001001,577,Totnes,"68,914","50,271",72.9%,"50,353",73.1%,"50,601",73.4%,0,14,0,68,0,82,"12,110",48,0,"12,158",0,"10,735",65,0,48,0,0,53,"1,257","12,158","10,735",85,163,"10,487",248,743,24,52,7,9,0,27,46,9,0,0,81,"1,201",23,10,24/05/17,25/05/17,209,22:08:00,00:45:00,00:46:00,03:20:00,No,0,0,0
E14001002,578,Tottenham,"72,882","49,347",67.7%,"49,494",67.9%,"49,727",68.2%,0,69,4,74,0,147,"9,371",218,12,"9,601",118,"7,444",34,12,76,11,0,102,"1,922","9,601","7,444",120,73,"7,211",233,741,28,4,31,52,37,14,27,32,15,25,49,427,12, ,18/05/17,19/05/17,87,22:05:00,00:40:00,00:55:00,03:05:00,No,0,0,0
E14001003,579,Truro and Falmouth,"74,683","56,647",75.8%,"56,717",75.9%,"56,807",76.1%,0,7,1,62,0,70,"13,228",48,0,"13,276",138,"11,691",59,4,28,16,0,52,"1,426","13,276","11,691",35,42,"11,601",77,932,40,76,12,18,5,1,32,9,1,12,69,654,27, ,22/05/17,23/05/17,72,22:00:00,02:00:00,02:40:00,06:20:00,No,0,0,0
E14001004,580,Tunbridge Wells,"74,782","54,209",72.5%,"54,308",72.6%,"54,651",73.1%,0,16,1,82,0,99,"14,820",152,0,"14,972",51,"12,998",43,0,101,0,0,69,"1,761","14,972","12,998",15,271,"12,655",343,690,30,55,0,3,1,11,159,67,32,25,48,"1,000",23,32,17/05/17,23/05/17,13,22:00:00,01:00:00,01:15:00,02:30:00,No,0,0,0
E14001005,581,Twickenham,"83,362","66,290",79.5%,"66,433",79.7%,"66,602",79.9%,0,16,0,127,0,143,"17,508",157,0,"17,665",91,"15,851",89,0,66,0,0,78,"1,602","17,686","15,851",18,155,"15,682",173,"1,158",2,46,5,1,12,33,97,25,0,0,48,871, , ,15/05/17,26/05/17, ,22:00:00,00:44:00,00:13:00,02:44:00,No,0,0,0
E14001006,582,Tynemouth,"77,434","56,858",73.4%,"56,964",73.6%,"57,325",74.0%,0,38,2,66,0,106,"19,780",44,0,"19,824",217,"17,346",19,17,24,11,0,19,"2,388","19,824","17,346",133,162,"16,985",323,565,11,70,2,1,130,15,71,30,4,12,61,"1,464",12, ,18/05/17,22/05/17,54,22:00:00,00:01:00,23:30:00,01:45:00,No,0,0,0
N06000017,586,Upper Bann,"80,168","51,258",63.9%,"51,431",64.2%,"51,470",64.2%,0,79,0,94,0,173,"1,376",0,0,"1,376",0,"1,228",5,0,0,0,0,3,140,"1,376",,,,"1,189",39,322,,,,,,,,,,,84,,,74, , ,0,23:00:00,01:00:00,00:15:00,03:00:00, ,0,0,0
E14001007,587,Uxbridge and South Ruislip,"69,940","46,694",66.8%,"46,778",66.9%,"47,142",67.4%,1,57,2,24,0,84,"10,850",65,0,"10,915",28,"9,176",0,1,36,0,0,0,"1,702","10,915","9,176",17,160,"8,812",264,331,0,43,2,2,13,82,53,25,0,0,48,970,50, ,15/05/17,23/05/17, ,22:00:00,01:15:00,01:20:00,03:05:00,No,0,0,0
W07000060,588,Vale of Clwyd,"56,890","38,684",68.0%,"38,775",68.2%,"38,900",68.4%,0,18,1,72,0,91,"11,333",88,0,"11,421",33,"9,714",0,5,50,0,0,0,"1,652","11,421","9,714",29,96,"9,589",125,215,0,50,1,28,0,18,61,17,0,32,38,686,32, ,15/05/17,23/05/17,25,22:00:00,23:45:00,23:45:00,01:25:00,No,0,0,0
W07000078,589,Vale of Glamorgan 5,"73,959","53,719",72.6%,"53,781",72.7%,"54,106",73.2%,0,14,1,47,0,62,"15,139",128,3,"15,270",115,"12,960",20,10,44,24,0,24,"2,188","15,270","12,960",98,109,"12,635",325,457,13,90,38,50,10,4,87,18,62,56,86,"12,960",20,19,18/05/17,20/05/17,30,22:00:00,00:00:00,00:15:00,02:00:00,No,0,0,0
E14001008,590,Vauxhall,"82,055","55,042",67.1%,"55,206",67.3%,"55,353",67.5%,0,49,1,114,0,164,"11,637",162,0,"11,799",197,"9,202",107,1,73,0,0,46,"2,208","11,637","9,202",47,60,"9,055",147,825,43,19,4,37,6,34,19,1,15,8,50,410,27,33,19/05/17,20/05/17, ,22:00:00,01:11:00,01:20:00,03:43:00,No,0,0,0
E14001009,591,Wakefield,"70,340","46,284",65.8%,"46,396",66.0%,"46,625",66.3%,0,26,2,84,0,112,"12,091",72,0,"12,163",56,"10,654",9,1,15,0,0,31,"1,453","12,163","10,534",11,108,"10,425",180,351,8,71,4,2,5,44,63,1,11,50,50,790, , ,15/05/17,26/05/17,45,22:00:00,02:15:00,01:50:00,04:46:00,No,0,0,0
E14001010,592,Wallasey,"67,454","48,353",71.7%,"48,430",71.8%,"48,543",72.0%,0,19,1,57,0,77,"11,934",38,0,"11,972",91,"10,029",19,3,35,0,0,27,"1,859","11,972","10,029",38,65,"9,916",113,383,16,86,12,6,20,17,29,19,3,7,28,593,11,0,17/05/17,27/05/17,35,22:00:00,23:30:00,23:35:00,01:48:00,No,0,0,0
E14001011,593,Walsall North,"67,308","38,118",56.6%,"38,196",56.7%,"38,311",56.9%,0,24,2,52,0,78,"8,291",12,0,"8,303",7,"6,875",12,1,11,0,0,16,"1,376","8,291","6,875",42,73,"6,760",115,137,7,43,5,13,9,10,52,11,12,3,45,265,6,1,15/05/17,23/05/17,32,22:15:00,23:30:00,23:35:00,02:45:00,No,0,0,0
E14001012,594,Walsall South,"67,417","44,072",65.4%,"44,189",65.5%,"45,042",66.8%,0,43,3,71,0,117,"8,836",24,0,"8,860",18,"7,613",31,0,24,0,0,20,"1,172","8,860","7,613",45,84,"6,760",129,236,16,69,8,10,13,19,49,16,5,9,47,171,11,0,15/05/17,23/05/17,37,22:15:00,23:35:00,23:35:00,03:25:00,No,0,0,0
E14001013,595,Walthamstow,"67,597","48,143",71.2%,"48,302",71.5%,"48,605",71.9%,0,50,1,108,0,159,"8,913",103,0,"9,016",39,"7,289",76,5,59,0,0,50,"1,514","8,993","7,289",28,239,"6,986",303,426,21,25,3,15,10,140,60,39,0,0,53,641,9,7,22/05/17,22/05/17,16,22:00:00,23:15:00,23:15:00,02:05:00,No,0,0,0
E14001014,596,Wansbeck,"62,151","42,454",68.3%,"42,511",68.4%,"42,840",68.9%,0,14,2,41,0,57,"14,890",89,0,"14,979",58,"13,128",19,10,31,9,0,19,"1,763","14,979","13,128",92,154,"12,799",329,311,0,94,33,15,44,58,81,15,42,21,41,618, , ,11/05/17,22/05/17,43,22:30:00,02:20:00,02:20:00,05:10:00,No,0,0,0
E14001015,597,Wantage,"85,786","63,602",74.1%,"63,748",74.3%,"63,842",74.4%,0,35,0,111,0,146,"12,598",38,0,"12,636",38,"10,871",0,0,0,44,0,0,"1,721","12,636","10,871",17,78,"10,777",94,783,0,38,6,2,9,12,44,22,0,0,88,223, , ,19/05/17,30/05/17, ,22:00:00,01:20:00,01:25:00,04:15:00,No,0,0,0
E14001016,598,Warley,"63,739","40,321",63.3%,"40,437",63.4%,"40,642",63.8%,0,17,2,97,0,116,"7,457",42,24,"7,523",0,"5,878",50,36,0,0,0,28,"1,581","7,523","5,878",162,43,"5,673",205,35,0,68,12,12,12,63,48,15,18,25,48,"5,809",69,11,13/05/17,23/05/17,33,22:00:00,23:30:00,23:30:00,01:03:00,No,0,0,0
E14001017,599,Warrington North,"71,918","48,525",67.5%,"48,624",67.6%,"48,776",67.8%,0,8,2,89,0,99,"12,319",61,0,"12,380",27,"10,674",40,1,33,0,0,30,"1,602","12,380","10,674",34,91,"10,522",0,442,70,62,5,17,12,20,57,14,7,7,60,387,4,47,15/05/17,23/05/17,60,22:00:00,01:00:00,00:30:00,03:00:00,No,0,0,0
E14001018,600,Warrington South,"85,617","62,004",72.4%,"62,124",72.6%,"62,313",72.8%,0,14,1,105,0,120,"19,084",119,0,"19,203",50,"16,874",45,7,62,0,0,39,"2,176","19,203","16,874",53,118,"16,685",0,742,126,54,12,17,24,43,58,17,8,7,69,681,12,47,15/05/17,23/05/17,60,22:00:00,01:30:00,01:00:00,04:00:00,No,0,0,0
E14001019,601,Warwick and Leamington,"74,237","54,055",72.8%,"54,180",73.0%,"54,506",73.4%,0,30,1,18,76,125,"12,329",73,0,"12,402",34,"10,823",3,5,34,0,0,39,"1,464","12,368","10,823",77,118,"10,497",326,629,13,95,7,38,32,25,62,31,0,0,79,402,0,0,19/05/17,22/05/17,76,22:00:00,01:00:00,01:00:00,03:00:00,No,0,0,0
E14001020,603,Washington and Sunderland West,"67,280","40,574",60.3%,"40,648",60.4%,"41,049",61.0%,0,7,0,67,0,74,"27,280",132,0,"27,412",18,"21,807",20,13,101,0,0,62,"5,409","27,412","21,791",167,213,"21,406",401,137,5,45,110,1,56,32,159,22,14,7,35,811,9,3,17/05/17,20/05/17,174,23:22:00,23:35:00,23:20:00,23:57:00,No,0,0,0
E14001021,604,Watford,"86,507","58,610",67.8%,"58,723",67.9%,"59,189",68.4%,0,29,1,83,0,113,"16,043",57,1,"16,101",77,"13,856",114,1,57,0,0,47,"2,026","16,101","13,586",36,125,"13,390",196,374,24,38,10,7,19,41,80,4,31,4,73,"1,690",70,15,17/05/17,22/05/17,88,22:00:00,00:45:00,00:15:00,02:30:00,No,0,0,0
E14001022,605,Waveney,"80,763","52,686",65.2%,"52,754",65.3%,"53,149",65.8%,0,18,0,50,0,68,"15,067",89,0,"15,156",38,"13,561",75,0,0,89,0,46,"1,385","15,156","13,561",46,199,"13,166",245,968,52,89,9,0,37,74,102,23,14,6,67,"1,062",0,1,17/05/17,19/05/17,39,22:00:00,01:00:00,01:20:00,03:50:00,No,0,0,0
E14001023,606,Wealden,"81,410","60,462",74.3%,"60,575",74.4%,"60,751",74.6%,0,25,0,88,0,113,"15,669",18,0,"15,687",0,"13,688",77,5,13,0,0,0,"1,904","15,687","13,688",58,118,"13,512",176,716,19,136,19,4,35,27,85,6,150,0,60,874,32,50,17/05/17,23/05/17,42,22:00:00,00:45:00,00:00:00,02:30:00,No,0,0,0
E14001024,607,Weaver Vale,"69,016","50,613",73.3%,"50,721",73.5%,"50,846",73.7%,0,30,1,77,0,108,"7,188",129,3,"7,320",31,"6,219",93,2,0,31,0,23,952,"7,320","6,219",19,106,"6,094",125,389,4,32,11,1,5,29,47,13,34,29,55,508,9,6,17/05/17,24/05/17,37,22:00:00,00:30:00,01:00:00,03:45:00,No,0,0,0
E14001025,608,Wellingborough,"79,254","53,259",67.2%,"53,359",67.3%,"53,724",67.8%,0,20,0,80,0,100,"15,669",40,6,"15,715",13,"13,647",21,2,25,0,0,21,"1,999","15,715","13,647",46,142,"13,282",193,353,15,101,28,4,14,22,98,22,6,5,65,"1,011",5,15,17/05/17,19/05/17,30,22:15:00,00:50:00,23:30:00,02:10:00,No,0,0,0
E14001026,609,Wells,"80,782","60,843",75.3%,"60,974",75.5%,"61,582",76.2%,0,16,2,113,0,131,"18,298",175,0,"18,473",111,"15,880",74,0,82,6,0,41,"2,390","18,473","15,886",291,198,"15,272",614,693,182,90,14,8,269,63,131,8,100,21,73,"1,149",18,14,19/05/17,19/05/17,56,22:00:00,01:35:00,01:45:00,04:30:00,No,0,3,0
E14001027,610,Welwyn Hatfield,"72,888","51,669",70.9%,"51,778",71.0%,"51,927",71.2%,0,30,2,77,0,109,"13,484",58,0,"13,542",163,"11,921",41,0,58,0,0,21,"1,501","13,542","11,916",49,58,"11,772",138,434,11,130,13,8,28,3,52,3,24,7,50,898,19,11,19/05/17,19/05/17,38,22:35:00,03:10:00,01:15:00,04:05:00,No,0,0,0
E14001028,611,Wentworth and Dearne,"74,890","43,948",58.7%,"44,228",59.1%,"44,514",59.4%,0,50,3,227,0,280,"17,546",49,0,"17,595",18,"14,526",29,2,29,0,0,38,"2,971","17,595","14,526",98,151,"14,240",248,144,8,43,28,3,67,30,82,39,16,12,59,938,1,10,18/05/17,23/05/17,63,22:00:00,00:45:00,01:00:00,03:00:00,No,0,0,0
S14000058,5,West Aberdeenshire and Kincardine,"72,477","51,626",71.2%,"51,675",71.3%,"51,850",71.5%,0,6,0,43,0,49,"16,115",36,1,"16,152",2,"14,228",42,8,28,1,0,43,"1,802","16,152","14,228",66,133,"14,053",235,762,12,87,20,5,38,36,97,0,7,29,92,"1,540",0,8,19/05/17,22/05/17,67,22:00:00,01:40:00,01:50:00,04:15:00,No,0,0,0
E14001029,612,West Bromwich East,"63,846","39,226",61.4%,"39,364",61.7%,"39,509",61.9%,1,27,2,108,0,138,"6,349",51,1,"6,407",0,"5,261",23,9,0,0,0,17,"1,103","6,407","5,261",148,25,"5,116",145,30,11,56,9,3,6,60,50,20,13,12,51,"5,208",53,15,11/05/17,23/05/17,47,22:00:00,23:30:00,23:30:00,01:03:00,No ,0,0,0
E14001030,613,West Bromwich West,"65,967","36,168",54.8%,"36,258",55.0%,"36,405",55.2%,0,19,2,69,0,90,"7,191",18,16,"7,225",0,"5,638",37,16,0,0,0,7,"1,521","7,225","5,638",170,19,"5,491",147,26,2,58,3,7,15,77,50,18,7,12,43,"5,565",73,8,11/05/17,23/05/17, ,22:10:00,23:30:00,23:30:00,01:03:00,No,0,0,0
E14001031,200,West Dorset,"82,277","59,598",72.4%,"59,750",72.6%,"59,941",72.9%,0,25,4,123,0,152,"13,730",39,0,"13,769",39,"11,876",26,0,0,39,0,53,"1,775","13,769","11,876",43,107,"11,685",150,"1,019",5,106,5,12,17,48,48,11,3,6,104,586,10,41,15/05/17,22/05/17,16,22:15:00,00:45:00,01:00:00,02:05:00,No,0,0,0
S14000059,210,West Dunbartonshire,"67,602","44,083",65.2%,"44,169",65.3%,"44,377",65.6%,2,17,0,67,0,86,"9,404",36,9,"9,449",4,"7,854",15,3,29,0,0,49,"1,499","9,449","7,854",13,25,"7,646",208,333,11,69,1,10,2,13,9,3,11,159,39,"7,854",6,18,22/05/17,23/05/17,33,22:00:00,00:11:00,00:23:00,01:30:00,No,0,0,0
E14001032,614,West Ham,"92,418","60,528",65.5%,"60,689",65.7%,"61,016",66.0%,0,67,0,94,0,161,"13,155",199,0,"13,354",112,"10,479",128,0,87,0,0,87,"2,573","13,354","10,479",62,159,"10,152",327,248,16,46,5,52,5,23,86,50,23,19,67,"1,376",128, ,17/05/17,22/05/17,131,22:00:00,01:00:00,01:15:00,03:15:00,No,0,0,0
E14001033,349,West Lancashire,"73,257","54,396",74.3%,"54,510",74.4%,"54,751",74.7%,0,24,2,88,0,114,"14,095",129,0,"14,224",60,"12,497",35,40,29,0,0,45,"1,578","14,224","12,497",82,49,"12,256",241,505,73,59,42,15,25,0,3,11,12,15,84,"1,691",15,25,17/05/17,26/05/17,124,22:00:00,00:45:00,01:00:00,02:45:00,No,0,0,0
E14001034,550,West Suffolk,"77,348","51,748",66.9%,"51,852",67.0%,"52,253",67.6%,0,11,0,93,0,104,"13,214",193,0,"13,407",21,"11,241",70,0,40,0,0,0,"2,056","13,407","10,825",40,155,"10,840",195,377,8,46,13,0,12,38,87,30,"1,043",571,94,709, ,0,17/05/17,23/05/17,5,22:00:00,01:05:00,01:30:00,03:25:00,No,0,0,0
N06000018,584,West Tyrone,"64,009","43,486",67.9%,"43,675",68.2%,"43,772",68.4%,0,101,0,88,0,189,"1,925",0,0,"1,925",0,"1,731",4,0,0,0,0,0,190,"1,925",,,,"1,634",97,914,,,,,,,,,,,82,,,52, , ,0,22:15:00,01:09:00,23:20:00,03:15:00, ,0,0,0
E14001035,635,West Worcestershire,"74,375","56,471",75.9%,"56,583",76.1%,"56,715",76.3%,0,14,1,97,0,112,"13,131",79,0,"13,210",53,"11,538",49,3,23,0,0,31,"1,592","13,236","11,538",0,132,"11,406",115,616,19,114,0,0,0,36,49,47,0,0,92,283,49, ,17/05/17,23/05/17,20,22:00:00,00:30:00,00:40:00,02:30:00,No,0,0,0
E14001036,615,Westminster North,"63,846","43,295",67.8%,"43,487",68.1%,"43,619",68.3%,31,72,3,86,0,192,"10,375",64,0,"10,439",0,"8,307",129,7,64,0,0,59,"1,873","10,439","8,307",51,81,"8,175",132,498,18,36,7,19,3,37,41,3,12,10,51,"1,215",28,52,18/05/17,18/05/17,3,22:00:00,00:30:00,00:30:00,02:30:00,No,0,0,0
E14001037,616,Westmorland and Lonsdale,"66,391","51,606",77.7%,"51,687",77.9%,"51,944",78.2%,1,12,3,65,0,81,"17,404",20,0,"17,424",92,"15,767",29,3,17,0,0,60,"1,548","17,424","15,767",11,26,"15,510",257,626,23,56,6,5,3,83,65,10,17,68,75,897,9,14,16/05/17,25/05/17,58,22:00:00,00:05:00,00:15:00,03:00:00,No,1,0,0
E14001038,617,Weston-Super-Mare,"82,136","56,415",68.7%,"56,512",68.8%,"56,920",69.3%,0,17,0,80,0,97,"14,622",51,0,"14,673",28,"12,401",3,5,18,27,0,64,"2,221","14,739","12,401",1,387,"11,993",408,460,9,68,0,0,1,128,79,180,67,24,61,883,0, ,19/05/17,24/05/17,12,22:00:00,01:20:00,01:05:00,03:51:00,No,0,0,0
